Date : 2023-08-02 16:22:39
Directory : f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui
Total : 292 files,  234932 codes, 504 comments, 871 blanks, all 236307 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\components\menu\general-tool\editor\wangEditor                                                                                               |          1 |         58 |          4 |         11 |         73 |
| src\components\menu\general-tool\image-tool                                                                                                      |          2 |        128 |          1 |         11 |        140 |
| src\components\menu\low-code-design-platform                                                                                                     |          1 |          8 |          0 |          2 |         10 |
| src\config                                                                                                                                       |          1 |          5 |          1 |          2 |          8 |
| src\lang                                                                                                                                         |          3 |        217 |          1 |          4 |        222 |
| src\live2D                                                                                                                                       |          4 |     23,587 |        223 |        163 |     23,973 |
| src\router                                                                                                                                       |          2 |         33 |          0 |          3 |         36 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\.eslintrc.cjs                                                                     | JavaScript |         10 |          1 |          1 |         12 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\README.md                                                                         | Markdown   |         49 |          0 |         41 |         90 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\index.html                                                                        | HTML       |         15 |          0 |          1 |         16 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\package-lock.json                                                                 | JSON       |      6,234 |          0 |          1 |      6,235 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\package.json                                                                      | JSON       |         38 |          0 |          1 |         39 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\App.vue                                                                       | Vue        |         27 |          2 |          6 |         35 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\demo.css                                                         | CSS        |        435 |         19 |         86 |        540 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\demo_index.html                                                  | HTML       |        831 |          2 |        115 |        948 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\iconfont.css                                                     | CSS        |        119 |          1 |         37 |        157 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\iconfont.js                                                      | JavaScript |          1 |          0 |          0 |          1 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\iconfont.json                                                    | JSON       |        240 |          0 |          1 |        241 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\json\aqi-beijing.json                                                  | JSON       |          1 |          0 |          0 |          1 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\json\les-miserables.json                                               | JSON       |        248 |          0 |          0 |        248 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\json\programmer.json                                                   | JSON       |          1 |          0 |          0 |          1 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\akari.cdi3.json                                  | JSON       |      1,634 |          0 |          0 |      1,634 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\akari.model3.json                                | JSON       |         78 |          0 |          0 |         78 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\akari.physics3.json                              | JSON       |      2,655 |          0 |          0 |      2,655 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\akari.userdata3.json                             | JSON       |         24 |          0 |          0 |         24 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\akari.vtube.json                                 | JSON       |        934 |          0 |          0 |        934 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\animations\Idle_2.motion3.json                   | JSON       |        589 |          0 |          0 |        589 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\animations\Love.motion3.json                     | JSON       |      1,081 |          0 |          0 |      1,081 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\animations\Shock.motion3.json                    | JSON       |        751 |          0 |          0 |        751 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\expressions\EyesCry.exp3.json                    | JSON       |         15 |          0 |          0 |         15 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\expressions\EyesLove.exp3.json                   | JSON       |         15 |          0 |          0 |         15 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\expressions\SignAngry.exp3.json                  | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\expressions\SignShock.exp3.json                  | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\akari_gril_vts\items_pinned_to_model.json                       | JSON       |         14 |          0 |          0 |         14 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\00_idle.motion3.json                  | JSON       |      1,035 |          0 |          0 |      1,035 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\01.motion3.json                       | JSON       |      2,421 |          0 |          0 |      2,421 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\02.motion3.json                       | JSON       |        991 |          0 |          0 |        991 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\03.motion3.json                       | JSON       |      1,224 |          0 |          0 |      1,224 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\04.motion3.json                       | JSON       |      1,059 |          0 |          0 |      1,059 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\05.motion3.json                       | JSON       |      1,025 |          0 |          0 |      1,025 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\06.motion3.json                       | JSON       |      1,722 |          0 |          0 |      1,722 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\07.motion3.json                       | JSON       |      1,018 |          0 |          0 |      1,018 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\animations\08.motion3.json                       | JSON       |        941 |          0 |          0 |        941 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\hijiki.cdi3.json                                 | JSON       |        250 |          0 |          0 |        250 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\hijiki.model3.json                               | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\hijiki.vtube.json                                | JSON       |        290 |          0 |          0 |        290 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hijiki_cat_vts\items_pinned_to_model.json                       | JSON       |         14 |          0 |          0 |         14 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m01.motion3.json              | JSON       |      1,194 |          0 |          0 |      1,194 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m02.motion3.json              | JSON       |      1,595 |          0 |          0 |      1,595 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m03.motion3.json              | JSON       |      1,427 |          0 |          0 |      1,427 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m04.motion3.json              | JSON       |        991 |          0 |          0 |        991 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m05.motion3.json              | JSON       |      1,779 |          0 |          0 |      1,779 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m06.motion3.json              | JSON       |      2,094 |          0 |          0 |      2,094 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m07.motion3.json              | JSON       |      1,126 |          0 |          0 |      1,126 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m08.motion3.json              | JSON       |      1,212 |          0 |          0 |      1,212 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m09.motion3.json              | JSON       |      1,315 |          0 |          0 |      1,315 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\animations\hiyori_m10.motion3.json              | JSON       |      1,077 |          0 |          0 |      1,077 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\hiyori.cdi3.json                                | JSON       |        562 |          0 |          0 |        562 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\hiyori.model3.json                              | JSON       |         29 |          0 |          0 |         29 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\hiyori.physics3.json                            | JSON       |      1,569 |          0 |          0 |      1,569 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\hiyori.vtube.json                               | JSON       |        642 |          0 |          0 |        642 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\hiyori_gril_vts\items_pinned_to_model.json                      | JSON       |         14 |          0 |          0 |         14 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\rem\rem.json                                                    | JSON       |        192 |          0 |          1 |        193 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\rem\remu.physics.json                                           | JSON       |        347 |          0 |          0 |        347 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\rem\remu.pose.json                                              | JSON       |         21 |          0 |          0 |         21 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\00_idle.motion3.json                  | JSON       |      1,035 |          0 |          0 |      1,035 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\01.motion3.json                       | JSON       |      2,421 |          0 |          0 |      2,421 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\02.motion3.json                       | JSON       |        991 |          0 |          0 |        991 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\03.motion3.json                       | JSON       |      1,224 |          0 |          0 |      1,224 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\04.motion3.json                       | JSON       |      1,059 |          0 |          0 |      1,059 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\05.motion3.json                       | JSON       |      1,025 |          0 |          0 |      1,025 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\06.motion3.json                       | JSON       |      1,722 |          0 |          0 |      1,722 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\07.motion3.json                       | JSON       |      1,018 |          0 |          0 |      1,018 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\animations\08.motion3.json                       | JSON       |        941 |          0 |          0 |        941 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\tororo.cdi3.json                                 | JSON       |        250 |          0 |          0 |        250 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\tororo.model3.json                               | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\tororo_cat_vts\tororo.vtube.json                                | JSON       |        290 |          0 |          0 |        290 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\idle_01.motion3.json                   | JSON       |        699 |          0 |          0 |        699 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\idle_02.motion3.json                   | JSON       |        818 |          0 |          0 |        818 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\idle_03.motion3.json                   | JSON       |        783 |          0 |          0 |        783 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\idle_04.motion3.json                   | JSON       |        636 |          0 |          0 |        636 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\shake_01.motion3.json                  | JSON       |        748 |          0 |          0 |        748 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\shake_02.motion3.json                  | JSON       |        867 |          0 |          0 |        867 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\touch_01.motion3.json                  | JSON       |        594 |          0 |          0 |        594 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\touch_02.motion3.json                  | JSON       |        699 |          0 |          0 |        699 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\touch_03.motion3.json                  | JSON       |        643 |          0 |          0 |        643 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\touch_04.motion3.json                  | JSON       |        615 |          0 |          0 |        615 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\touch_05.motion3.json                  | JSON       |        510 |          0 |          0 |        510 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\animations\touch_06.motion3.json                  | JSON       |        720 |          0 |          0 |        720 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\items_pinned_to_model.json                        | JSON       |         14 |          0 |          0 |         14 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\wanko.cdi3.json                                   | JSON       |        276 |          0 |          0 |        276 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\wanko.model3.json                                 | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\wanko_dog_vts\wanko.vtube.json                                  | JSON       |        290 |          0 |          0 |        290 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\520兔兔.cdi3.json                                              | JSON       |        480 |          0 |          0 |        480 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\520兔兔.model3.json                                            | JSON       |         47 |          0 |          0 |         47 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\520兔兔.physics3.json                                          | JSON       |        965 |          0 |          0 |        965 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\520兔兔.prprl2d.json                                           | JSON       |        342 |          0 |          1 |        343 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\ARKitFaceTrackerSettingBeta.json                             | JSON       |        211 |          0 |          1 |        212 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\expressions\angry.exp3.json                                  | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\expressions\cry.exp3.json                                    | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\expressions\hands.exp3.json                                  | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\兔兔\expressions\shy.exp3.json                                    | JSON       |         10 |          0 |          0 |         10 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\Haru.cdi3.json                                          | JSON       |        334 |          0 |          0 |        334 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\Haru.model3.json                                        | JSON       |        115 |          0 |          0 |        115 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\Haru.physics3.json                                      | JSON       |        373 |          0 |          0 |        373 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\Haru.pose3.json                                         | JSON       |         25 |          0 |          0 |         25 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\Haru.userdata3.json                                     | JSON       |         24 |          0 |          0 |         24 |
| f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\models\其他\Haru\expressions\F01.exp3.json                               | JSON       |         10 |          0 |          0 |         10 |
